Dataset Partition	Overrepresented lemmas
29	(gfp : 0.0035),(chip : 0.0001),(change : 0.0001),(haplogroup : 0.0233),(bind : 0.0073),(histone : 0.0001),(nonreference : 0.0286),(represse : 0.05),(mutation : 0.0026),(wound : 0.0001),(modification : 0.0004),(hac : 0.0079),(virus : 0.0459),(diurnal : 0.0001),(positive : 0.0157),(quantify : 0.0406),(conditional : 0.0114),(delimited : 0.01),(ein : 0.0316),(bud : 0.0259),(input : 0.0202),(htr : 0.0219),(division : 0.0356),(ha : 0.0002),(mark : 0.0001),(provoke : 0.0231),(accessibility : 0.0201),(conversi : 0.0002),(che : 0.0233),(century : 0.0001),(causal : 0.0024),(linker : 0.003),(γ : 0.0003),(term : 0.0443),(ddc : 0.0038),(faire : 0.0017),(genetic : 0.0113),(mybr : 0.0014),(sim : 0.035),(spatially : 0.0118),(chromatin : 0.0001),(novo : 0.0074),(describe : 0.0001),(floral : 0.0012),(ion : 0.0456),(regeneration : 0.011),(hda : 0.0038),(assist : 0.0065),(mb : 0.0002),(rep : 0.0041),(dh : 0.0001),(breed : 0.0274),(herbarium : 0.0011),(landscape : 0.0084),(dynamic : 0.0004),(yeg : 0.0232),(ribosomal : 0.0231),(se : 0.0245),(open : 0.0123),(particle : 0.0273),(sperm : 0.0094),(help : 0.0001),(morc : 0.0411),(osu : 0.0004),(leo : 0.0274),(transposon : 0.0159),(modify : 0.0231),(line : 0.0001),(effect : 0.0108),(chipseq : 0.0003),(regulator : 0.0004),(variation : 0.0001),(accumulate : 0.0001),(spot : 0.0468),(epigenetic : 0.0005),(diverge : 0.0233),(number : 0.0246),(heavy : 0.0224),(w : 0.0002),(paternal : 0.0259),(establish : 0.01),(duplication : 0.0231),(america : 0.0001),(segment : 0.0231),(phosphorylation : 0.0001),(copy : 0.0231),(prior : 0.0232),(gcn : 0.0487),(epigenetically : 0.0273),(bh : 0.0286),(network : 0.013),(ypet : 0.0232),(repression : 0.0027),(h : 0.0001),(hkme : 0.0001),(novel : 0.0199),(epimutation : 0.0189),(tetrad : 0.0001),(heterochromatin : 0.0087),(mnf : 0.0233),(pola : 0.0466),(unrepaired : 0.0004),(track : 0.0001),(day : 0.0275),(memory : 0.0198),(ac : 0.0001),(del : 0.0187),(factor : 0.0146),(cs : 0.0002),(demethylase : 0.0189),(retrotransposon : 0.0496),(inflorescence : 0.0202),(formaldehyde : 0.0017),(induce : 0.0019),(k : 0.0006),(zat : 0.0124),(methylase : 0.0222),(accompany : 0.0001),(region : 0.0072),(butyrolactone : 0.0003),(montevelha : 0.0072),(modulate : 0.0236),(acetylation : 0.0001),(temporal : 0.0002),(de : 0.0003),(gene : 0.0074),(jk : 0.0001),(antibody : 0.0189),(beam : 0.0448),(callus : 0.0002),(colonization : 0.0003),(medium : 0.0076),(small : 0.0192),(nrpdnrpemorc : 0.0186),(hkac : 0.0002),(ddm : 0.0013),(reset : 0.0148),(rec : 0.0234),(vanc : 0.0232),(chromosomal : 0.0231),(recombinant : 0.0001),(meristem : 0.0393),(atino : 0.05),(collect : 0.0009),(hk : 0.0001),(recently : 0.0233),(shoot : 0.0095),(anti : 0.0413),(atxr : 0.0375),(project : 0.0001),(responsible : 0.045),(new : 0.0004),(variant : 0.0001),(bolt : 0.0417),(specimen : 0.0013),(vs : 0.0075),(argon : 0.0224),(psm : 0.0009),(incorporation : 0.05),(ldl : 0.002),(air : 0.0449),(acquire : 0.0257),(methylome : 0.0233)
30	(affinity : 0.0213),(eastern : 0.0002),(gy : 0.0001),(lig : 0.0217),(mutation : 0.0017),(pico : 0.0008),(low : 0.0001),(sep : 0.0213),(wil : 0.0214),(recqab : 0.0044),(population : 0.0001),(x : 0.0001),(drive : 0.0225),(binding : 0.0414),(cova : 0.0212),(org : 0.0213),(bioluminescence : 0.0005),(msh : 0.0073),(em : 0.0438),(ontology : 0.0213),(thaliana : 0.0223),(term : 0.0418),(m : 0.0031),(col : 0.0001),(jsp : 0.0213),(parallel : 0.0001),(crossover : 0.0001),(novo : 0.0014),(po : 0.0213),(wt : 0.0026),(education : 0.0213),(pok : 0.0222),(asyhete : 0.0346),(type : 0.0031),(innovation : 0.0431),(acute : 0.0001),(poq : 0.0217),(flowering : 0.0001),(mutational : 0.0001),(awf : 0.0005),(pamp : 0.0014),(www : 0.0213),(irradiation : 0.0002),(sequential : 0.0213),(arabidopsis : 0.0001),(× : 0.0001),(wild : 0.0112),(ligiv : 0.0217),(recqb : 0.0038),(bur : 0.0416),(sequence : 0.0001),(maaa : 0.0438),(asy : 0.0003),(reduction : 0.0001),(screening : 0.0446),(enable : 0.0001),(ku : 0.0217),(lineage : 0.0091),(coverage : 0.0001),(f : 0.0001),(gamma : 0.0001),(stabilise : 0.0213),(novel : 0.019),(portal : 0.0213),(france : 0.0002),(pof : 0.0422),(applicable : 0.0431),(large : 0.0023),(independent : 0.0381),(edm : 0.0268),(pyrenee : 0.0008),(colonize : 0.0001),(venus : 0.0446),(hei : 0.0001),(lc : 0.0446),(rescue : 0.0001),(cmt : 0.0001),(evolutionary : 0.0001),(luc : 0.0005),(poc : 0.0438),(clc : 0.0035),(ressource : 0.0002),(maf : 0.0218),(luciferase : 0.0005),(retention : 0.0218),(de : 0.0079),(https : 0.0213),(pyrenees : 0.0144),(genotype : 0.0001),(ler : 0.0001),(r : 0.0009),(mutmap : 0.0005),(cdf : 0.0256),(purification : 0.0213),(meiotic : 0.0001),(lane : 0.0001),(sample : 0.0001),(selection : 0.0213),(sepallata : 0.0213),(identify : 0.0001),(wrky : 0.0038),(repeat : 0.0226),(recqa : 0.0002),(ws : 0.0004),(artificial : 0.0213),(chronic : 0.0002),(agamous : 0.0213),(inferno : 0.0425),(combine : 0.0161),(new : 0.0013),(pj : 0.033),(dii : 0.0446),(mapping : 0.0001),(intron : 0.0218),(location : 0.0001)
31	(sog : 0.0322),(change : 0.0047),(wounding : 0.0063),(layer : 0.0413),(adar : 0.0041),(allelochemical : 0.022),(overexpression : 0.0001),(secrete : 0.0047),(min : 0.02),(myc : 0.0115),(mieff : 0.0144),(profiling : 0.0001),(sgn : 0.0001),(integrity : 0.0001),(benzoxazinoid : 0.022),(glv : 0.0001),(transcriptome : 0.0462),(phy : 0.0094),(volatile : 0.0001),(rhizobia : 0.0001),(velezensis : 0.0002),(mamp : 0.0005),(deprive : 0.0142),(trait : 0.0001),(γ : 0.0027),(max : 0.0196),(site : 0.0088),(knot : 0.0144),(giant : 0.0144),(community : 0.0005),(arab : 0.0204),(grow : 0.0344),(gnotobiotic : 0.0047),(erf : 0.0115),(haustoria : 0.0286),(cnqx : 0.0114),(mrna : 0.0221),(rhd : 0.0093),(rep : 0.0035),(level : 0.0145),(gsno : 0.0093),(formation : 0.0036),(transcript : 0.0189),(cif : 0.0001),(iron : 0.0048),(nematode : 0.0237),(t : 0.0022),(bicolor : 0.0001),(casparian : 0.0001),(japonicum : 0.0286),(mgcl : 0.0001),(hypertribe : 0.0041),(bacillus : 0.0005),(mask : 0.0142),(effect : 0.0367),(improve : 0.0078),(fungal : 0.0001),(bacteria : 0.0007),(parasitic : 0.0286),(induction : 0.0282),(kinase : 0.0001),(number : 0.0438),(sq : 0.0322),(mm : 0.0426),(batch : 0.0001),(coumarin : 0.0047),(lbd : 0.0426),(regenerate : 0.0114),(ipt : 0.0116),(fe : 0.0142),(estradiol : 0.0196),(commensal : 0.0006),(transcription : 0.0001),(fh : 0.0178),(d : 0.0001),(part : 0.0001),(hashimoto : 0.0047),(e : 0.0039),(cu : 0.0228),(ect : 0.0025),(dckh : 0.0113),(h : 0.0011),(principle : 0.0037),(pgnh : 0.0113),(phtheirospermum : 0.0286),(dependent : 0.0012),(flg : 0.0013),(arabidipsis : 0.0084),(phytoph : 0.032),(boron : 0.0284),(nobact : 0.0007),(yfp : 0.0196),(apo : 0.0334),(factor : 0.0323),(rst : 0.0005),(evolutionary : 0.0001),(induce : 0.0008),(harbort : 0.0047),(junction : 0.0116),(lateral : 0.0023),(flag : 0.0067),(system : 0.0025),(modular : 0.0001),(ram : 0.0116),(pxve : 0.0196),(butyrolactone : 0.0027),(protein : 0.0157),(include : 0.0286),(ntt : 0.0202),(syncom : 0.0113),(symbiotic : 0.0001),(diterpene : 0.022),(haustorium : 0.0286),(seddling : 0.0396),(nutrition : 0.0047),(interact : 0.0409),(microbiota : 0.0001),(aftercut : 0.0206),(agar : 0.0113),(target : 0.0112),(host : 0.0117),(available : 0.001),(laccaria : 0.0001),(root : 0.0001),(employ : 0.0413),(schengen : 0.0001),(relationship : 0.0001),(sample : 0.0185),(initiation : 0.0046),(phosphorylate : 0.0322),(dmso : 0.0114),(âµm : 0.0196),(rhizobiale : 0.0001),(microbe : 0.001),(zeocin : 0.0206),(spliceosomal : 0.0144),(ishr : 0.0116),(wip : 0.0202),(expose : 0.0007),(reaction : 0.0001),(strip : 0.0001),(presence : 0.0005),(ythdf : 0.0063),(peptide : 0.0001),(secretion : 0.0361),(cytokinin : 0.023),(ba : 0.0347),(smdb : 0.0144),(treatment : 0.0108),(nop : 0.0084),(smd : 0.0144)
32	(rnaseq : 0.0061),(zt : 0.0446),(set : 0.0024),(triple : 0.0028),(systemic : 0.0001),(rna : 0.0011),(subtype : 0.0123),(dc : 0.0001),(homologue : 0.0005),(priming : 0.0001),(rve : 0.0001),(pgara : 0.0121),(locally : 0.0001),(transcriptome : 0.0024),(dream : 0.0326),(atlas : 0.0122),(individual : 0.0001),(mamp : 0.0001),(bio : 0.0029),(eil : 0.0268),(strigolactone : 0.0121),(cgy : 0.0124),(mediate : 0.0001),(unequally : 0.0001),(transgenerational : 0.0265),(reprogramming : 0.0199),(ev : 0.0001),(atcxe : 0.0121),(rf : 0.0007),(intracellular : 0.0001),(rep : 0.0001),(slim : 0.0268),(formation : 0.0431),(confrontation : 0.0005),(family : 0.0001),(productive : 0.0326),(seedling : 0.0001),(epihybrid : 0.0005),(t : 0.0012),(microrchidia : 0.0009),(analysis : 0.0001),(nik : 0.0123),(dosage : 0.0124),(transposon : 0.0072),(pseudomonas : 0.0016),(en : 0.05),(cold : 0.0009),(rveq : 0.0003),(lp : 0.0124),(lhy : 0.0001),(bacteria : 0.0001),(epigenome : 0.009),(pghela : 0.0121),(chromium : 0.0265),(tr : 0.0365),(helper : 0.0001),(leave : 0.0094),(wdra : 0.0326),(extend : 0.05),(mf : 0.0001),(mom : 0.0361),(adr : 0.0002),(commensal : 0.0001),(morcmorc : 0.0124),(cca : 0.0001),(btehid : 0.0121),(h : 0.0002),(mae : 0.0001),(receptor : 0.0001),(inoculate : 0.0001),(immediate : 0.0008),(night : 0.05),(tomato : 0.0001),(avrrps : 0.0058),(flg : 0.0001),(syringae : 0.0001),(infect : 0.0296),(brassinosteroid : 0.0202),(gi : 0.0238),(nobact : 0.0323),(basic : 0.0012),(mock : 0.0001),(heteromer : 0.0005),(pgl : 0.0121),(immune : 0.0001),(qc : 0.0121),(ubc : 0.0123),(stress : 0.0058),(pv : 0.0001),(function : 0.0001),(mrnaseq : 0.0005),(redundant : 0.0001),(meet : 0.0492),(antagonize : 0.0446),(amv : 0.0379),(avrrpm : 0.0001),(cl : 0.0002),(defense : 0.0001),(repressor : 0.0475),(seq : 0.0136),(loop : 0.0082),(xmet : 0.0154),(shock : 0.0365),(clf : 0.0203),(herlperless : 0.0001),(catabolism : 0.0121),(sensor : 0.0001),(carboxylesterase : 0.0121),(helix : 0.0082),(lnk : 0.0007),(expose : 0.0001),(phenotypic : 0.0481),(extn : 0.05),(watering : 0.0238),(radiation : 0.0363),(presence : 0.0001),(ythdf : 0.0075),(nrg : 0.0016),(silence : 0.0001),(xcol : 0.0122)
33	(potent : 0.0013),(chip : 0.0001),(set : 0.0466),(architecture : 0.0001),(histone : 0.0006),(lj : 0.013),(pti : 0.0492),(represse : 0.0213),(occupancy : 0.013),(mh : 0.0137),(tagman : 0.0136),(van : 0.0127),(methyl : 0.0001),(positive : 0.0001),(quantify : 0.016),(non : 0.0013),(atacseq : 0.0001),(ein : 0.0084),(accumulation : 0.0043),(input : 0.0001),(index : 0.0499),(ha : 0.003),(control : 0.0308),(noncoding : 0.0078),(complex : 0.0032),(auxin : 0.03),(accessibility : 0.0003),(polymerase : 0.0258),(causal : 0.0153),(relate : 0.0437),(finger : 0.0157),(rnapiiserp : 0.0155),(ett : 0.0002),(mediate : 0.0011),(chromatin : 0.0004),(unveil : 0.0137),(hour : 0.0234),(sra : 0.013),(hypersensitivity : 0.0137),(partner : 0.0004),(dna : 0.0001),(tsa : 0.0077),(mintbody : 0.0155),(warm : 0.0233),(cns : 0.0078),(herbarium : 0.0003),(species : 0.0137),(landscape : 0.0065),(resequence : 0.0001),(seedling : 0.0001),(vil : 0.0079),(dynamic : 0.0489),(old : 0.0011),(rad : 0.0078),(t : 0.023),(open : 0.0013),(accession : 0.0218),(seedle : 0.0009),(compaction : 0.0001),(mnase : 0.0215),(abrc : 0.0251),(wide : 0.0488),(chipseq : 0.0297),(release : 0.0008),(precursor : 0.0006),(nrpd : 0.0207),(dephosphorylate : 0.0028),(chipinput : 0.0204),(st : 0.0361),(→ : 0.0079),(exposure : 0.0153),(variation : 0.0021),(class : 0.0488),(iaa : 0.0001),(w : 0.0319),(clfbr : 0.0077),(seven : 0.0028),(pat : 0.0251),(model : 0.0007),(v : 0.013),(cryosensor : 0.0281),(repressive : 0.0002),(loss : 0.0234),(act : 0.0485),(find : 0.0251),(hkme : 0.0257),(link : 0.0025),(kns : 0.0077),(ref : 0.0079),(heterochromatin : 0.0404),(repair : 0.0251),(drm : 0.0279),(associate : 0.0367),(domain : 0.0075),(inhibitor : 0.0012),(name : 0.0251),(assay : 0.0275),(feedback : 0.0006),(eindb : 0.0001),(orchestrate : 0.0004),(deacetylase : 0.0027),(day : 0.0064),(growth : 0.0178),(cs : 0.0018),(multiparent : 0.0078),(bor : 0.0402),(ril : 0.0078),(descend : 0.0251),(te : 0.0181),(nrpde : 0.0137),(patagonia : 0.0282),(affect : 0.0019),(einc : 0.0001),(competitor : 0.0006),(rawread : 0.013),(region : 0.0015),(crosstalk : 0.0014),(zinc : 0.0234),(acetylation : 0.0258),(gene : 0.0164),(african : 0.003),(thermotolerance : 0.0107),(ddm : 0.0002),(suppress : 0.0013),(clf : 0.0098),(flower : 0.0236),(evolution : 0.0428),(peo : 0.0078),(gz : 0.0434),(genomic : 0.0001),(enhance : 0.0183),(atino : 0.0213),(collect : 0.0259),(mmd : 0.0106),(hyrad : 0.0001),(polycomb : 0.0022),(argentina : 0.0251),(qseq : 0.013),(contain : 0.0283),(ribosomes : 0.0281),(modulation : 0.0004),(ampril : 0.0078),(incorporation : 0.0213),(air : 0.0158),(methylation : 0.0001)
34	(systemic : 0.0002),(estrodial : 0.0034),(rna : 0.0053),(salicylic : 0.0001),(timeserie : 0.0001),(pipecolic : 0.0001),(seti : 0.0034),(arabidopsis : 0.0001),(ja : 0.0001),(transcriptional : 0.0138),(acid : 0.0001),(avrrps : 0.013),(mock : 0.0001),(treat : 0.0001),(critical : 0.0001),(sa : 0.0001),(role : 0.0013),(resistance : 0.0075),(seq : 0.006),(sample : 0.0001),(inducible : 0.0067),(generic : 0.0001),(acquire : 0.0001)
35	(isolated : 0.0047),(sieve : 0.0047),(trajectory : 0.0001),(maturation : 0.0001),(protophloem : 0.0047),(cal : 0.0047),(analysis : 0.0001),(cellular : 0.0001),(link : 0.0001),(protoplast : 0.0239),(slx : 0.0001),(tissue : 0.0001),(meristem : 0.0001),(specialization : 0.0001),(plant : 0.0001),(fac : 0.0071)
36	(rna : 0.0001),(vasculature : 0.0235),(rd : 0.0001),(b : 0.0021),(g : 0.0029),(thaliana : 0.0001),(mn : 0.0235),(delta : 0.033),(accession : 0.0001),(atglkglk : 0.0349),(c : 0.0001),(d : 0.0001),(e : 0.0001),(h : 0.0076),(piece : 0.0235),(s : 0.0001),(golden : 0.0349),(library : 0.0001),(performance : 0.0392),(seq : 0.0001),(test : 0.0412),(libpl : 0.0001),(ty : 0.0414),(p : 0.0001),(drol : 0.0452)
37	(rossette : 0.0261),(rnaseq : 0.0217),(uvr : 0.0072),(arf : 0.0018),(zt : 0.0054),(pectinacetylesterase : 0.0001),(nrpda : 0.0242),(compare : 0.0002),(myzus : 0.0002),(pubq : 0.0138),(minute : 0.0048),(low : 0.0001),(profiling : 0.0231),(tps : 0.0219),(fr : 0.0016),(rna : 0.0291),(signal : 0.0001),(photo : 0.0003),(soil : 0.0005),(infection : 0.0058),(hsl : 0.0141),(mild : 0.03),(week : 0.0069),(geo : 0.0139),(currently : 0.0139),(private : 0.0139),(detachment : 0.0023),(alternaria : 0.019),(dat : 0.0139),(hfuvb : 0.0005),(grow : 0.0118),(schedule : 0.0139),(bol : 0.0261),(feeding : 0.0006),(nitrate : 0.0237),(mrna : 0.031),(sensitivity : 0.0055),(regeneration : 0.0324),(persicae : 0.008),(timeserie : 0.0001),(gse : 0.0139),(aff : 0.0002),(seedling : 0.0294),(component : 0.0026),(ctnip : 0.0141),(fungus : 0.019),(calcium : 0.0275),(old : 0.0004),(end : 0.0017),(microrchidia : 0.0402),(bicolor : 0.0131),(nrt : 0.0004),(interplay : 0.0241),(morc : 0.0245),(fungi : 0.0013),(chx : 0.0125),(en : 0.0017),(cold : 0.0027),(botrytis : 0.0242),(ligase : 0.0002),(cohesin : 0.0033),(hormonal : 0.0009),(arabidopsis : 0.008),(class : 0.0024),(tem : 0.0003),(determine : 0.0005),(iaa : 0.0362),(ja : 0.0016),(md : 0.0124),(impa : 0.0126),(lapse : 0.0023),(extend : 0.0017),(require : 0.0001),(ed : 0.002),(trichoplusia : 0.0006),(mutant : 0.0153),(ck : 0.0139),(dph : 0.0005),(hfr : 0.0016),(um : 0.0006),(crwncrwn : 0.0086),(tic : 0.0086),(aphids : 0.0001),(regulat : 0.0242),(nc : 0.0019),(alternata : 0.019),(e : 0.0416),(nm : 0.0368),(caterpillar : 0.0006),(condition : 0.0002),(salt : 0.0474),(h : 0.0059),(postdusk : 0.0086),(transcriptional : 0.0002),(night : 0.0017),(pola : 0.0139),(fluctuating : 0.0001),(timepoint : 0.0035),(gi : 0.0293),(ros : 0.0161),(mock : 0.0003),(day : 0.002),(growth : 0.0032),(circadian : 0.0036),(overlap : 0.0367),(treat : 0.0066),(light : 0.0001),(protection : 0.0003),(involvement : 0.0144),(induce : 0.0073),(exex : 0.019),(sa : 0.002),(oct : 0.0139),(imazethapyr : 0.0144),(illumination : 0.0277),(ctrl : 0.0477),(relative : 0.0141),(hmz : 0.0139),(expression : 0.0359),(modulate : 0.0007),(kn : 0.0004),(hyl : 0.0264),(ni : 0.0006),(defense : 0.0001),(syn : 0.0003),(crwn : 0.0086),(pae : 0.0005),(proteasome : 0.0002),(drnl : 0.0261),(phya : 0.0086),(regulate : 0.0098),(background : 0.0013),(target : 0.0148),(ubiquitin : 0.0002),(lhp : 0.0126),(sigma : 0.0278),(laccaria : 0.0131),(sig : 0.0278),(tissue : 0.0013),(constitutive : 0.0001),(sample : 0.0009),(normal : 0.0001),(fas : 0.0139),(ts : 0.026),(cinerea : 0.0242),(generic : 0.0008),(shoot : 0.0043),(integration : 0.0411),(extn : 0.0017),(thermomorphogenesis : 0.0482),(explant : 0.0284),(reaction : 0.0131),(ii : 0.0063),(esr : 0.0368),(endophytic : 0.0139),(watering : 0.0293),(entire : 0.0009),(vs : 0.0205),(high : 0.0238),(dag : 0.0269),(mis : 0.0126),(strategy : 0.0124)
38	(rnaseq : 0.0095),(pdat : 0.0012),(gr : 0.0109),(embryo : 0.0009),(b : 0.0049),(m : 0.0048),(daf : 0.0009),(fae : 0.0036),(replicate : 0.0117),(silique : 0.0025),(seed : 0.0001),(ail : 0.0009),(induction : 0.0175),(kinase : 0.0071),(hydroxy : 0.0001),(early : 0.0448),(d : 0.0071),(secondary : 0.0053),(torpedo : 0.0009),(fatty : 0.0001),(acid : 0.0068),(produce : 0.0001),(mock : 0.0069),(day : 0.0187),(constrain : 0.0009),(vein : 0.0009),(develop : 0.0005),(oe : 0.0052),(wus : 0.0028),(cvpcvl : 0.0009),(protein : 0.0345),(callus : 0.0028),(late : 0.0088),(branch : 0.0009),(like : 0.0151),(proximal : 0.0137),(treatment : 0.0111)
39	(elicitor : 0.0001),(rnaseq : 0.0458),(course : 0.0001),(panel : 0.0001),(thaliana : 0.0001),(study : 0.0001),(time : 0.0001),(response : 0.0001),(arabidopsis : 0.0001),(point : 0.0099),(transcriptomic : 0.0001),(nlp : 0.0093),(treatment : 0.0487)
40	(homeostasis : 0.0026),(dependence : 0.0002),(probe : 0.0001),(myzus : 0.0001),(photoperiod : 0.015),(responsive : 0.0126),(cotyledon : 0.0497),(thaliana : 0.0001),(m : 0.0001),(trajectory : 0.0452),(atg : 0.0475),(micro : 0.0247),(persicae : 0.0001),(ep : 0.0077),(acquisition : 0.0002),(infiltration : 0.0005),(copper : 0.0002),(spot : 0.0178),(spl : 0.0002),(stomatal : 0.0027),(epidermis : 0.0077),(overlapping : 0.0353),(require : 0.0219),(atmlp : 0.0049),(polyamine : 0.0008),(lineage : 0.0031),(nst : 0.0084),(resolution : 0.0261),(ld : 0.0275),(vasulature : 0.0097),(flg : 0.0072),(develop : 0.0049),(trace : 0.0001),(sufficient : 0.016),(single : 0.0089),(series : 0.0314),(gast : 0.0005),(feed : 0.0001),(transcriptomic : 0.0001),(ho : 0.0005),(eod : 0.0328),(spatial : 0.0001),(sample : 0.0001),(cell : 0.0032),(epg : 0.0001),(grid : 0.0005),(smart : 0.0023)
41	(vdofox : 0.0097),(gfp : 0.0008),(smb : 0.0142),(proteotoxic : 0.0001),(paraquat : 0.0098),(approach : 0.0001),(read : 0.0184),(harbor : 0.0001),(effector : 0.0049),(mt : 0.0376),(knock : 0.0098),(control : 0.0005),(functional : 0.0025),(transcriptome : 0.0001),(vdof : 0.0097),(complex : 0.0098),(atlas : 0.0007),(em : 0.0167),(strain : 0.0001),(intact : 0.0001),(lbl : 0.0097),(trihelix : 0.0186),(asil : 0.0186),(mediate : 0.0046),(warmth : 0.0023),(cat : 0.0001),(ccvtir : 0.0001),(bol : 0.0166),(stage : 0.0144),(nitrate : 0.0003),(diversified : 0.0098),(heat : 0.0003),(somatic : 0.0372),(bml : 0.007),(replicate : 0.0048),(silique : 0.0289),(pre : 0.0455),(seedling : 0.0001),(functionalzation : 0.0098),(old : 0.032),(n : 0.0033),(t : 0.0499),(heterotrimeric : 0.0001),(estrogen : 0.0097),(analysis : 0.0179),(pnr : 0.0015),(directly : 0.0351),(seedle : 0.0004),(sow : 0.0196),(transposon : 0.0085),(sulfonamide : 0.0001),(raw : 0.0002),(dof : 0.0194),(pair : 0.0001),(induction : 0.0018),(iaa : 0.0007),(ecotype : 0.0104),(anthesis : 0.0099),(require : 0.0016),(pq : 0.0098),(chloroplast : 0.0001),(acylethanolamine : 0.0001),(abnormal : 0.0026),(starvation : 0.0008),(primary : 0.0008),(transcriptionally : 0.0001),(dr : 0.0001),(nm : 0.0351),(cryptochromes : 0.0097),(locus : 0.0288),(apex : 0.0186),(hs : 0.0196),(shade : 0.0004),(salt : 0.004),(limit : 0.0097),(h : 0.0001),(recovery : 0.0014),(novel : 0.0037),(convergence : 0.0023),(chemical : 0.0001),(er : 0.0001),(initiate : 0.0349),(group : 0.0329),(dmf : 0.0189),(growth : 0.0001),(overexpressor : 0.0476),(pp : 0.0167),(treat : 0.0002),(misexpression : 0.0323),(lifecycle : 0.0001),(inflorescence : 0.0203),(cdk : 0.007),(induce : 0.015),(develop : 0.0063),(combination : 0.0089),(highlight : 0.0098),(emergence : 0.0098),(stress : 0.0001),(columbia : 0.0008),(advanced : 0.0001),(ctrl : 0.0009),(meet : 0.0445),(shypm : 0.0069),(subject : 0.0113),(fruit : 0.0099),(melatonin : 0.0254),(expression : 0.0003),(bzip : 0.0012),(protein : 0.0004),(gene : 0.0084),(activate : 0.0057),(tfs : 0.0097),(kyoto : 0.0028),(drnl : 0.0166),(heterosis : 0.0185),(pep : 0.0046),(hl : 0.0197),(atsmos : 0.0001),(seddling : 0.033),(carry : 0.0097),(sdlg : 0.0186),(nlp : 0.0028),(cbp : 0.0239),(target : 0.0174),(scl : 0.0001),(synthetic : 0.0001),(putative : 0.0003),(pak : 0.0103),(dmso : 0.0001),(leaf : 0.015),(protect : 0.0001),(photorespiratory : 0.0001),(inducible : 0.0024),(collection : 0.0459),(duplicate : 0.0007),(nanocarbon : 0.0012),(esr : 0.0235),(osmotic : 0.0454),(hbc : 0.0188),(dag : 0.0012),(transgene : 0.0097),(multifactorial : 0.0005),(cvxiaa : 0.0001)
42	(et : 0.0001),(atac : 0.0001),(generate : 0.0001),(cvi : 0.0006),(wt : 0.0001),(aa : 0.0012),(ste : 0.0001),(t : 0.0068),(bs : 0.0001),(baa : 0.0001),(bl : 0.0255),(tscha : 0.0001),(tsu : 0.0001),(gdna : 0.0249),(com : 0.0001),(datum : 0.0001),(pi : 0.0001),(mar : 0.0029),(srikant : 0.0001),(bu : 0.0006),(est : 0.0002),(seq : 0.0001),(al : 0.0001),(ei : 0.0001),(p : 0.0001)
43	(homeostasis : 0.0002),(u : 0.0208),(layer : 0.018),(determinant : 0.0075),(read : 0.0061),(adar : 0.0013),(atx : 0.0075),(systemic : 0.0331),(secrete : 0.0001),(sdg : 0.0075),(signal : 0.0303),(sp : 0.0001),(mark : 0.0372),(microbiome : 0.0001),(endophytism : 0.0075),(immunity : 0.0005),(program : 0.0427),(strain : 0.007),(site : 0.0014),(sqr : 0.0012),(methyltransferase : 0.0281),(grow : 0.0004),(respond : 0.0001),(abscisic : 0.0006),(bacterial : 0.0076),(gnotobiotic : 0.0001),(nitrate : 0.0189),(innate : 0.0001),(haustoria : 0.0002),(replicate : 0.0148),(level : 0.013),(formation : 0.0002),(lowlpi : 0.0104),(beneficial : 0.0001),(iron : 0.0001),(analysis : 0.0071),(metabolism : 0.0001),(japonicum : 0.0002),(maternal : 0.0178),(hypertribe : 0.0013),(bacillus : 0.0014),(enterobacter : 0.0001),(improve : 0.0001),(parasitic : 0.0002),(raw : 0.0068),(lowpi : 0.015),(mm : 0.0294),(coumarin : 0.0001),(pathogenic : 0.0001),(coe : 0.0106),(colletotrichum : 0.0002),(fe : 0.0001),(khc : 0.0132),(tofieldiae : 0.0002),(ro : 0.0001),(nrf : 0.0104),(tip : 0.0013),(repressive : 0.031),(pwer : 0.0074),(hashimoto : 0.0001),(harvest : 0.0348),(ect : 0.0009),(rhizobacterium : 0.0012),(salt : 0.0151),(investigate : 0.0338),(principle : 0.0009),(phtheirospermum : 0.0002),(remethylation : 0.0075),(infect : 0.0183),(dpi : 0.0108),(sulfur : 0.0001),(verticillium : 0.0108),(acc : 0.0001),(amyloliquefacien : 0.0012),(memory : 0.0309),(reprogramme : 0.0004),(harbort : 0.0001),(flag : 0.0031),(cultivar : 0.047),(system : 0.0001),(antagonize : 0.0223),(sufficient : 0.0176),(crosstalk : 0.0001),(resistance : 0.0418),(unavailable : 0.0001),(protein : 0.0389),(include : 0.0002),(f’h : 0.0005),(argonaute : 0.0075),(syncom : 0.0114),(increase : 0.0017),(colonization : 0.0009),(mycobiome : 0.0075),(haustorium : 0.0002),(regulate : 0.013),(nutrition : 0.0001),(late : 0.04),(interact : 0.0002),(microbiota : 0.0001),(target : 0.0263),(host : 0.0001),(root : 0.0001),(employ : 0.018),(key : 0.0371),(tissue : 0.0345),(sample : 0.0002),(cell : 0.0218),(coordination : 0.0001),(microbe : 0.0001),(mp : 0.0075),(major : 0.0029),(plant : 0.0001),(ythdf : 0.0016),(resistant : 0.0398)
